transcript_file,phrase_form_as_written,context_snippet,sentence_word_count,alpha_fraction,in_ai_cyber_keywords_list,in_287_sentence_set,assigned_category,fate,sentence_preview
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,inteligjenca artificiale,gu Braçe bëri thirrje për të parë se si inteligjenca artificiale tashmë është vendosur në shërbim të qyt,18,0.845,False,False,,form not in AI_CYBER_KEYWORDS selection list,Kolegu Braçe bëri thirrje për të parë se si inteligjenca art...
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,Inteligjenca artificiale,"dhe vajzat, pjesës tjetër të familjes. Inteligjenca artificiale ka nisur të sfidojë akoma edhe më fort.",18,0.845,False,False,,form not in AI_CYBER_KEYWORDS selection list,Kolegu Braçe bëri thirrje për të parë se si inteligjenca art...
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,inteligjencën artificiale,"këtë kuadër, meqenëse folëm më parë për inteligjencën artificiale, për kodimin, për programimin dhe për t",31,0.821,True,True,ai_specific,"in 287-set, correctly categorized ai_specific",Mjafton t’ju them që sot flitet për inteligjencën artificial...
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,inteligjencën artificiale,"dhe ato sot janë të vlefshme, madje me inteligjencën artificiale njerëzit çfarë nuk bëjnë sot, prodhojnë",31,0.821,True,True,ai_specific,"in 287-set, correctly categorized ai_specific",Mjafton t’ju them që sot flitet për inteligjencën artificial...
cmm0nguvo000e8h9a8ai5l4n9_Punime te_ Kuvendit_  viti 2024_ nr_ 3.txt,inteligjenca artificiale,"t asaj, që të gjithë e njohim tashmë si inteligjenca artificiale, kështu që përdorimi i saj në të gjithë",74,,False,False,,form not in AI_CYBER_KEYWORDS selection list,"Ne bëjmë fjalë për një shoqëri, e cila po shkon me shpejtësi..."
cmm0nkgxc000f8h9awemhq0x5_Punime te_ Kuvendit_  viti 2024_ nr_ 4.txt,inteligjencën artificiale,"me inovacionin, me konkurrencën dhe me inteligjencën artificiale që po ndodh në mbarë botën. Pra, admini",42,0.819,True,True,ai_specific,"in 287-set, correctly categorized ai_specific",Ne nuk mund të themi që administrata jonë publike nuk punon ...
cmm0nkgxc000f8h9awemhq0x5_Punime te_ Kuvendit_  viti 2024_ nr_ 4.txt,inteligjencë artificiale,"e saj kurrizore. Teknologjia 5G premton inteligjencë artificiale, mjete autonome, transport civil dhe us",18,0.825,True,True,ai_specific,"in 287-set, correctly categorized ai_specific","Teknologjia 5G premton inteligjencë artificiale, mjete auton..."
cmm0nl8se000g8h9ag186u8t2_Punime te_ Kuvendit_  viti 2024_ nr_ 6.txt,inteligjenca artificiale,"nit të gjeneratës së ardhshme, sepse as inteligjenca artificiale nuk është më e huaj për Radiotelevizion",56,,False,False,,form not in AI_CYBER_KEYWORDS selection list,Por ky nuk është i vetmi hap që kemi nisur për sa i përket R...
cmm0nl8se000g8h9ag186u8t2_Punime te_ Kuvendit_  viti 2024_ nr_ 6.txt,inteligjenca artificiale,"nte pjesën fundore, në të cilën qëndron inteligjenca artificiale, e cila do të zëvendësojë syrin subjekt",56,,False,False,,form not in AI_CYBER_KEYWORDS selection list,Por ky nuk është i vetmi hap që kemi nisur për sa i përket R...
cmm0nloz7000h8h9a1j8nzpcz_Punime te_ Kuvendit_  viti 2024_ nr_ 7.txt,inteligjencën artificiale,teknologji të avancuar që shfrytëzojnë inteligjencën artificiale në fushën e sigurisë kibernetike. Gjith,38,0.846,True,True,cyber_general,"in 287-set, but reassigned to 'cyber_general' (priority order matched another category's keyword first)",Akti normativ parashikon financime shtesë edhe për Agjencinë...
cmm0nmx7k000j8h9aar6pibyz_Punime te_ Kuvendit_  viti 2024_ nr_ 9.txt,inteligjencën artificiale,"ërkimit shkencor, me inovacionin dhe me inteligjencën artificiale, do të kishim mundësinë të zgjidhnim sh",58,,True,False,,removed by length filter (word_count=58),"Megjithatë, ato mund të gjenden në varësi të projekteve të p..."
cmm0nnh9w000k8h9akxt013fj_Punime te_ Kuvendit_  viti 2024_ nr_ 10.txt,inteligjencë artificiale,"gjitha shërbimet publike, të pajisur me inteligjencë artificiale, që do të shërbejë më shpejt e natyrish",82,,True,False,,removed by length filter (word_count=82),Është një nga vendet e pakta që ka instaluar dhe do të lanço...
