source_file,original_text,translated_text,sentiment_label,sentiment_confidence
cmm0nbrft00078h9aatme2tw7_Punime te_ Kuvendit_  viti 2023_ nr_ 1.txt,Presidenti rikonfirmon mbështetjen e Izraelit për përballimin e sulmeve të egra kibernetike ndaj Shqipërisë dhe vullnetin për fuqizimin e marrëdhënieve tona dypalëshe.,The President reaffirms Israel's support for dealing with wild cyber attacks against Albania and the will to strengthen our bilateral relations.,positive,0.999
cmm0nbrft00078h9aatme2tw7_Punime te_ Kuvendit_  viti 2023_ nr_ 1.txt,"Unë, po ashtu, dua ta falënderoj qeverinë e Izraelit dhe të gjithë ata që ndihmuan në përballimin e sulmeve kibernetike nga Irani!","I, too, want to thank the government of Israel and all those who helped to cope with the cyber attacks from Iran!",positive,0.999
cmm0nbrft00078h9aatme2tw7_Punime te_ Kuvendit_  viti 2023_ nr_ 1.txt,"Në kohërat në të cilat po jetojmë, kur në Europë kemi një vatër të hapur lufte, që vazhdon të marrë jetë të pafajshme dhe të paralizojë ekonominë botërore, në kohërat e sulmeve kibernetike, kjo marrëveshje patjetër që ka një rëndësi shumë të veçantë.","In the times we are living in, when in Europe we have an open hearth of war, which continues to take innocent lives and paralyze the world economy, in times of cyber attacks, this agreement definitely has a very special importance.",positive,0.998
cmm0nch4s00088h9airmaqp6x_Punime te_ Kuvendit_  viti 2023_ nr_ 2.txt,"21 të raportit të Komisionerit thuhet se nuk janë përmbyllur të gjitha hetimet për sa i përket rrjedhjes së të dhënave, sepse mendohet se ka pasur sulm kibernetik, nga ana tjetër janë nisur paralelisht edhe hetime të autoriteteve vendase dhe të huaja.","21 of the Commissioner's report, it is said that not all investigations have been completed in terms of data leakage, because it is thought that there was a cyber attack, on the other hand, investigations by local and foreign authorities have also been launched.",positive,0.991
cmm0nch4s00088h9airmaqp6x_Punime te_ Kuvendit_  viti 2023_ nr_ 2.txt,"A është në dijeni Komisioneri për sistemin e patronazhimit, që hartohet, organizohet, merren të dhënat nga AKSHI, që jepen nga çdo institucion shtetëror, me urdhër dhe leje të Kryeministrit?","Is the Commissioner aware of the patronage system, which is designed, organized, and the data are received from AKSHI, which are given by every state institution, with the order and permission of the Prime Minister?",negative,0.997
cmm0nch4s00088h9airmaqp6x_Punime te_ Kuvendit_  viti 2023_ nr_ 2.txt,"Shikoni tenderët e AKSHI-t, shikoni kush i merr ato tenderë, dhe kuptoni nivelin e sigurisë kibernetike në Shqipëri!","Look at the tenders of AKSHI, see who gets those tenders, and understand the level of cyber security in Albania!",positive,0.989
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,"Këtu duhet të kemi parasysh një moment të vështirë të muajit korrik të vitit të kaluar, kur Shqipëria u cenua nga krimi kibernetik dhe disa pjesë të infrastrukturës së sistemeve shtetërore, sikurse ishte ai i DAP-it, u ndikuan nga ky sulm.","Here we have to take into account a difficult moment in July of last year, when Albania was attacked by cybercrime and some parts of the infrastructure of state systems, such as that of DAP, were affected by this attack.",positive,0.972
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,"Rezulton që Departamenti i Administratës Publike ka arritur 98% të realizimit të planit për thirrje, për plotësimin e vendeve vakante, por ka plotësuar 78% për efekt të sulmit kibernetik që i ndodhi Shqipërisë, i cili bllokoi edhe proceset e aplikimeve online.","It turns out that the Department of Public Administration has achieved 98% of the realization of the call plan, for filling vacant positions, but it has filled 78% due to the effect of the cyber attack that happened to Albania, which also blocked the online application processes.",negative,0.872
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,"Si i duket zonjës Bushka kjo tabelë, që është e AKSHI-it dhe ka të gjitha të dhënat personale?","How does Mrs. Bushka see this table, which belongs to AKSHI and has all personal data?",negative,0.996
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,"Në lidhje me aplikimin e “Aktivistit”, do të thosha edhe diçka tjetër: Partia Socialiste mund të ketë aplikacion, por nuk duhet t’i përdorë institucionet shtetërore, administratën publike; nuk mund ta përdorë AKSHI-n dhe programacionet që ka shteti.","Regarding the ""Activist"" application, I would also like to say something else: the Socialist Party can have an application, but it should not use state institutions, public administration; it cannot use the ANA and the programs that the state has.",negative,0.998
