Topic,Count,Name,Representation,Representative_Docs
-1,73970,-1_të_që_dhe_në,"['të', 'që', 'dhe', 'në', 'për', 'një', 'me', 'nuk', 'nga', 'është']","['Unë nuk mendoj se dikush nga opozita, fatkeqësisht, do të thotë një fjalë të mirë për këtë marrëveshje, por, fatmirësisht, kjo është një nga ato gjëra që flet vetë, për rrjedhojë, unë jam krejt e sigurt që kjo nuk na shërben thjesht neve, por, mbi të gjitha, duhet t’u shërbejë të gjithë qytetarëve shqiptarë për ta parë perspektivën e integrimit europian si perspektivën e duhur për ta, si një perspektivë të konsoliduar, për sa kohë që qytetarët zgjedhin që të qeverisen nga njerëz që ushtrojnë përgjegjësi, kujdes dhe vëmendje.', 'Kam edhe një propozim për të ndryshuar Rregulloren, në mënyrë të tillë që pika e fundit, që është diskutime jashtë rendit të ditës të kalojë e para, sepse këtu çdo gjë thuhet me shpresën që të fitojë garën ndonjëri, kush e kush të marrë fjalën se po thotë gjënë më të mirë të mundshme, por ndërkohë asgjë nuk thuhet në lidhje me atë çfarë dakordësojmë së bashku, për çështje të rendit të ditës apo për çështje që u interesojnë qytetarëve, duke kaluar në diskutime për çështje jashtë rendit të ditës, për një orë apo dy orë, ku përfundojmë pastaj në diskutime të tjera.', 'Pra, ministrja e Financave na jep ide shumë të mira. Në fakt, për këto çështje ne kemi folur gjithmonë në çdo seancë të këtij parlamenti, por sot kemi diçka tjetër shumë më të rëndësishme, kemi çështjen e Kryeministrin tonë, të një vendi të vogël, siç është Shqipëria, i cili është përfshirë në një skandal ndërkombëtar, pasi ka tentuar të korruptojë një nga ish-drejtuesit më të lartë të FBI- së për të shkatërruar dhe minuar demokracinë e vendit tonë.']"
0,2911,0_shkolla_arsimit_arsimin_mësuesit,"['shkolla', 'arsimit', 'arsimin', 'mësuesit', 'nxënës', 'shkollë', 'shkollat', 'studentët', 'mësues', 'studentë']","['Por ajo shkollë nuk mund të japë maksimumin për këta nxënës, për familjet e tyre, për mësuesit që punojnë aty, ashtu siç është organizuar.', 'Nuk janë politika arsimore këto. Politikat arsimore duhet të na bashkojnë të gjithëve dhe duhet të jenë prioritet kombëtar në situatën në të cilën ndodhemi, jo me fjalë, por duke e mbështetur arsimin në rritjen e cilësisë së tij, në përgatitjen cilësore të studentëve e nxënësve tanë, duke mbështetur mësuesit (sot është edhe Dita Ndërkombëtare e Mësuesit), jo me rritje qesharake 6% të rrogës, por me mbështetje reale, për t’u dhënë dinjitet atyre.', 'Nuk mund të shkojnë te shkolla, sepse nuk ka rrugë për të shkuar te shkolla.']"
1,2514,1_shëndetësor_mjekët_shëndetësisë_mjekëve,"['shëndetësor', 'mjekët', 'shëndetësisë', 'mjekëve', 'spitalore', 'shëndetësore', 'spitalet', 'mjekë', 'spitali', 'spitale']","['Si ta hapin? Shumë kolegë këtu, që janë mjekë, e dinë këtë që kur kanë qenë në ditët apo vitet e para të profesionit, e pra, sistemi i autonomisë spitalore, pasi plotësohen të gjitha kriteret dhe kushtet, ua jep mundësinë mjekëve të rinj, të cilën duan të punojnë edhe dy punë, që mund ta bëjnë në institucionet publike, pra në spitalet shtetërore, pa pasur nevojë që pajisjet apo mjetet e logjistikës t’i blejnë vetë.', 'Ndërkohë, për mbështetjen ndaj mjekëve, të cilët punojnë larg vendbanimit, ne kemi bonusin e mjekut 2,5 milionë lekë plus pagën që e përfitojnë mjekë, të cilët shkojnë në spitalet rajonale.', 'Ne e themi sërish që shëndetësi falas do të thotë që qytetarët, të cilët nuk kanë paguar sigurime shëndetësore, marrin shërbim shëndetësor pa pagesë në portën e parë të shërbimit shëndetësor, që është kujdesi parësor, që janë qendrat shëndetësore.']"
2,1957,2_kryeministri_ministri_kryeministrit_ministre,"['kryeministri', 'ministri', 'kryeministrit', 'ministre', 'ministrat', 'ministër', 'kryeministrin', 'ministrja', 'kryeministër', 'ministrin']","['Po si është e mundur që të mos vijë Kryeministri në asnjë interpelancë? Për çfarë e kërkojmë?!', 'Ja ku është ministri i Financave këtu, të na thotë që kjo nuk është e vërtetë!', '(Ndërhyrje pa mikrofon) Patjetër, kryeministër e shkuar kryeministri, sepse ai vendos se çfarë duhet të bëni ju.']"
3,1838,3_faleminderit_felaj_ermonela_përgatitet,"['faleminderit', 'felaj', 'ermonela', 'përgatitet', 'zoti', 'zonja', 'fjala', 'lindita', 'nikolla', 'fjalën']","['Faleminderit! Ermonela Felaj – Zoti Shehu, fjala për ju. Tritan Shehu – Faleminderit, zonja drejtuese e seancës!', 'Shumë faleminderit! Ermonela Felaj – Faleminderit, zoti Manja! Fjalën e ka zonja Tabaku. Të përgatitet zonja Gjonaj.', 'Faleminderit! Lindita Nikolla - Fjala për zonjën Felaj, të përgatitet zoti Asllan Dogjani. Ermonela Felaj – Faleminderit, Kryetare!']"
4,1551,4_pensioneve_pensionistët_pensionet_pension,"['pensioneve', 'pensionistët', 'pensionet', 'pension', 'pensionistëve', 'pensionistë', 'pensioni', 'mijë', 'pensionit', 'pensionin']","['Të gjithë pensionistët që kanë një pension deri në 20 mijë lekë, 200 euro... (Ndërhyrje pa mikrofon) Elisa Spiropali – Ju lutem, zoti Bardhi, sepse do të keni kohën tuaj pas Kryeministrit!', 'Rreth 16 mijë pensionistë në qarkun e Kukësit do të marrin një bonus trefish më të lartë për ata me pension deri në 20 mijë lekë dhe dyfish më të lartë për pensionistët me pension mbi 20 mijë lekë.', 'Në vitin 2025 pensionistët duhet ta kenë të qartë që, edhe pse jepet një bonus sa herë që ka zgjedhje, një lëmoshë, përsëri nuk do të ketë rritje të buxhetit apo të pensioneve për pensionistët.']"
5,1470,5_bujqësisë_fermerët_fermerëve_bujqësore,"['bujqësisë', 'fermerët', 'fermerëve', 'bujqësore', 'bujqësinë', 'bujqësia', 'fermerë', 'bujqësi', 'grurit', 'bujqësor']","['Ministria e Bujqësisë ka Agjencinë për Zhvillim Bujqësor dhe Rural, që mund t’i implementojë masat, pavarësisht se vjet është zbatuar nëpërmjet Ministrisë së Bujqësisë, pra drejtoritë e bujqësisë, ku kryhen mekanizmat për verifikimin në sipërfaqet, që më të rrezikshme konsiderohen ato mbi 10 hektarë, dhe ka një koeficient mbi të cilin ne bëjmë këtë kontroll.', 'Turp, mor, turp të keni. Turp të keni! Tani, te bujqësia. Po, kam kërkuar të shtohet fondi i bujqësisë, sepse është pikërisht po kaq turp që ne me këtë buxhetin 8,2 miliardë euro i japim bujqësisë vetëm 50 milionë euro.', 'Unë mendoj se në sektorin e bujqësisë, çdo kosto e shtuar natyrisht i bën dëm ekonomisë bujqësore dhe blegtorale.']"
6,1274,6_spiropali_elisa_lutem_fjalën,"['spiropali', 'elisa', 'lutem', 'fjalën', 'zoti', 'ndërhyrje', 'mikrofon', 'procedurë', 'bardhi', 'faleminderit']","['(Ndërhyrje pa mikrofon) Elisa Spiropali – Ju lutem, mos flisni nga vendi! Zonja Zhupa, keni fjalën.', 'Faleminderit! Elisa Spiropali – Zoti Shehaj, keni kërkuar fjalën? Për çfarë? (Ndërhyrje pa mikrofon) Po, keni fjalën.', 'Faleminderit! (Ndërhyrje pa mikrofon) (Drejtimin e seancës e merr Kryetarja e Kuvendit, zonja Elisa Spiropali.) Elisa Spiropali – Nuk e keni kërkuar për procedurë.']"
7,1251,7_kosovës_kosovën_kosovë_kosova,"['kosovës', 'kosovën', 'kosovë', 'kosova', 'serbisë', 'serb', 'serbia', 'serbe', 'rezolutën', 'serbinë']","['Në rezolutën e Kuvendit të Shqipërisë do të pasqyrohet vetëm qëndrimi i Republikës së Kosovës dhe i institucioneve të Republikës së Kosovës.', 'Dhe më pas, që ky realitet i ri të shfrytëzohej nga armiqtë e Kosovës, për të thënë që Veriu ka nevojë për KFOR-in, për të thënë që është toka e askujt, plani shkoi shumë mirë, sepse Rama u vu në një linjë me planin e Serbisë dhe nuk e mohoi as sot këtu, nga ky Parlament, të njëjtën gjë duke thënë: “Nuk e kisha për Kosovën, por e kisha për Veriun e Kosovës”, të cilën për një moment mendova se do ta ndryshonte Në fakt, Veriu i Kosovës është Kosovë, nuk ka asnjë ndryshim nga pjesët e tjera të Kosovës.', 'Kosova e ka kërkuar këtë gjë. Presidentja e Kosovës, Kryeministri i Kosovës, kanë kërkuar në mënyrë të qartë mbështetje në lidhje me këtë proces.']"
8,1193,8_vërteta_ju_ke_jeni,"['vërteta', 'ju', 'ke', 'jeni', 'keni', 'ti', 'vërtetën', 'thoni', 'bëni', 'gjë']","['Është e vërtetë kjo? Po, është atje në SPAK e vërteta. Le të thonë që nuk ka ndodhur.', 'Nëse ju vini këtu e thoni: “Shikoni se ne jemi në një moment të dobët, por jemi këtu që t’ju tregojmë juve se kush jeni ju”, atëherë sigurisht që do të merrni edhe përgjigjen.', 'Ky është realiteti. Kjo është e vërteta. Ky duhet të jetë shqetësimi dhe jo të na bëni moral, kush jemi ne dhe kush jeni ju.']"
